Focused Code / Theme Candidate,Child Codes,Example IDs,Rationale,Confidence,Ambiguity/Notes
"self-service paths blocked by functional failures led to task abandonment or support escalation","irrelevant search results caused abandonment of self-service and escalation to support; unresponsive upgrade button led to task abandonment; broken cancellation page forced support escalation after repeated self-service failure","R002, R004, R008","All three describe a specific self-service task (search, upgrade, cancel) that failed because a specific UI mechanism did not work. Each customer persisted — R004 tried three times, R008 tried twice, R002 typed exactly what they were looking for — before giving up or escalating. The shared pattern is: clear task intent + broken mechanism → task abandoned or escalated to support. This is analytically distinct from navigation friction (TC2), where the mechanism may work but cannot be reached.",High,"R007 (non-functional mobile buttons and broken layout blocked mobile use) may be adjacent — it involves functional failure blocking use — but no behavioral consequence is described in that response. Analyst should assess whether R007 extends this candidate or belongs to a separate mobile-specific topic before moving to Stage 3."
"navigation and findability friction increased effort to access features or complete tasks","billing navigation failure blocked self-service task; buried features and low intuitiveness increase effort to find functionality","R001, R009","Both describe difficulty finding or reaching features that presumably exist. R001 is specific (cannot find where to update billing); R009 is general (features buried in menus, low intuitiveness across the product). The shared pattern is: feature or content exists, but the customer cannot easily locate or navigate to it. This is distinct from TC1, where the customer reached the feature but it did not work.",Medium,"Below the 3-response threshold (2 responses). Do not advance to Stage 3 without analyst review. R001 is about a specific account feature; R009 is about general product navigation and intuitiveness — analyst should confirm whether these represent the same underlying pattern or two distinct navigation problems that should be kept separate."
"unexplained or unannounced system failures created uncertainty for customers","unexpected logout caused form data loss during active task; repeated integration failures without communication eroded reliability expectations","R006, R015","Both describe system failures that happened without explanation or warning. R006: recurring logouts the customer cannot explain; R015: integration failures with no notification or communication. The shared element is: system failed unexpectedly + no explanation provided → customer left uncertain about why or whether it will recur. This element is explicit in both responses — R006 (""I don't know why"") and R015 (""we didn't get any warning or explanation""). The absence of communication is what defines this candidate, distinguishing it from TC1 where the failure itself is the core issue.",Low,"Below the 3-response threshold (2 responses). Grouping depends on reading ""no explanation"" as the shared defining pattern across different surface areas (session stability vs integration reliability). This requires interpretation — the surface areas are quite different. Analyst should determine whether this is a genuine pattern or whether R006 and R015 are better treated as isolated findings. Do not advance to Stage 3 without analyst review."
"valued features or improvements have remaining capability or performance gaps","dashboard improvement reveals performance gap in reports section; export feature valued but absence of scheduling creates recurring manual work","R003, R010","Both responses acknowledge something that works well while identifying a remaining gap. R003 values the dashboard speed improvement but wants equivalent performance in the reports section. R010 uses and values the export feature weekly but wants scheduling. The shared pattern is: customer-valued feature or improvement exists, but a gap limits its full utility. Both are expressed in a constructive or comparative framing — neither describes a broken feature or a task failure.",Low,"Below the 3-response threshold (2 responses). The ""partial value / remaining gap"" framing is analyst interpretation — participant language does not name this pattern explicitly. The two gaps are different in nature (performance gap vs missing feature capability). Analyst should determine whether this is a meaningful grouping or a forced synthesis. May be better treated as two isolated findings. Do not advance to Stage 3 without analyst review."

ISOLATED CHILD CODES (not grouped),,,,,
ID,Child Code,Reason Not Grouped,,,
R005,guided onboarding resources supported successful self-service setup,"Single response. Positive onboarding experience. Contrasts with R012 (onboarding as near-abandonment) — these describe opposite experiences of the same topic and should not be grouped together. Neither has sufficient support for its own candidate.",,,
R007,non-functional buttons and broken layout blocked mobile use,"Single response. May be adjacent to TC1 (self-service paths blocked by functional failures) but does not include a described behavioral consequence. Analyst should assess whether R007 extends TC1 or represents a distinct mobile-platform issue.",,,
R011,non-functional preference controls undermine notification relevance,"Single response. No other child codes describe a similar pattern (settings that exist but appear non-functional, undermining a specific feature's utility). Candidate for a singleton finding if analytically important.",,,
R012,option overload at onboarding nearly caused first-day abandonment,"Single response. Contrasts with R005 (onboarding described as easy). The near-abandonment is significant but unsupported by additional responses in this dataset. Analyst should note as a retention risk finding.",,,
R013,fast support response met resolution expectations,"Single response. Positive finding — support experience met expectations. No other positive-support child codes to group with. Singleton finding.",,,
R014,transaction history limit blocked access needed for a stated purpose,"Single response. Clear and specific — data access limitation with a stated purpose. No other child codes describe a similar data-access constraint. Singleton finding; may be worth noting as a product-scope issue.",,,
