ID,Response,Subject Codes,Pain Point Codes,Motivation Codes,Child Codes,Need/Behavior,Sentiment,Confidence,Ambiguity/Notes
R001,"I've been using the app for about three months and overall it's fine, but I can never figure out where to go to update my billing information. Every time I try I end up in the wrong place.","billing information; account navigation","can't find billing update location; ends up in wrong place","wanted to update billing information","billing navigation failure blocked self-service task","Customer needs a clear findable path to update billing details without getting lost.",Mixed,High,"Overall experience described as fine — pain is specific to billing navigation. ""Every time I try"" confirms this is recurring not one-off."
R002,"The search results are totally useless. I type in exactly what I'm looking for and it just shows me random stuff. I gave up and emailed support instead.",search results,search results irrelevant to query,wanted to find specific information,"irrelevant search results caused abandonment of self-service and escalation to support","Customer expects search to surface results matching a specific query; when it fails they abandon self-service and escalate to support.",Negative,High,"Behavioral consequences (gave up; emailed support) removed from Pain Point Codes — captured in Child Code and Need/Behavior instead. ""Random stuff"" is vague: unclear whether results are genuinely unrelated or poorly ranked. Search query content and task context unknown."
R003,"I really like how fast the dashboard loads now. It used to be so slow. I wish the reports section was the same.","dashboard load speed; reports section","reports section slow (implied by contrast)",,dashboard improvement reveals performance gap in reports section,"Customer values load performance and expects it to be consistent across the product.",Mixed,Medium,"Pain point coded as implied — ""I wish the reports section was the same"" implies dissatisfaction through contrast not a directly stated failure. No task failure described. No motivation stated. Confidence Medium: implied pain point with no stated motivation."
R004,"I wanted to switch to the annual plan but when I clicked the upgrade button nothing happened. I tried three times and then just left.","annual plan upgrade; upgrade button","upgrade button unresponsive; no feedback on action","wanted to switch to annual plan","unresponsive upgrade button led to task abandonment","Customer needs the plan upgrade path to be functional and provide clear feedback; silent failure led to giving up.",Negative,High,"Behavioral consequence (task abandonment — ""then just left"") removed from Pain Point Codes — captured in Child Code and Need/Behavior. Unclear whether button was technically broken or gave no visual feedback; ""nothing happened"" could mean no UI response or no backend action."
R005,"Onboarding was pretty easy to follow. The setup guide walked me through everything. I did have one question about integrations but found the answer in the help docs.","onboarding; setup guide; help docs",,"wanted to complete setup; wanted to understand integrations","guided onboarding resources supported successful self-service setup","Customer was able to complete setup independently using provided resources; self-service met their needs without requiring escalation.",Positive,Medium,"Motivations inferred from described actions (""setup guide walked me through everything""; ""I did have one question about integrations"") — not stated as explicit goals. Integration question resolved via help docs — not a pain point. Contrast with R012 which describes onboarding as overwhelming; may reflect different entry paths or experience levels."
R006,"I keep getting logged out. I don't know why. It's especially frustrating when I'm in the middle of filling out a long form and lose everything.","session timeout; form data","unexpected logout; lost form data",,"unexpected logout caused form data loss during active task","Customer needs session stability during long tasks and expects data to be preserved if a disruption occurs.",Negative,High,"Lost form data is the direct impact of the logout on the participant (not a behavioral response they chose) — retained as primary friction. ""I don't know why"" signals the logout is unpredictable with no system explanation. ""Keep getting"" confirms this is recurring. Motivation not stated."
R007,"The mobile version doesn't work well at all. Half the buttons don't do anything and the layout looks broken on my phone.","mobile version; buttons; layout","non-functional buttons on mobile; broken layout on mobile",,"non-functional buttons and broken layout blocked mobile use","Customer expects the mobile version to function equivalently to other platforms; current state prevents task completion.",Negative,High,"""Half the buttons"" may be hyperbolic — actual scope of dysfunction unspecified. No motivation stated; what the customer was trying to accomplish is unknown."
R008,"I've tried to cancel my subscription twice now and both times the cancellation page just spins and never finishes. I had to call customer service.","subscription cancellation; cancellation page","cancellation page stuck loading; task failed across two attempts","wanted to cancel subscription","broken cancellation page forced support escalation after repeated self-service failure","Customer needs a reliable self-service cancellation path; when it fails they are pushed into a higher-effort channel against their apparent preference.",Negative,High,"Behavioral consequence (""had to call customer service"") removed from Pain Point Codes — captured in Child Code and Need/Behavior. ""Twice now"" confirms persistent failure not a one-off."
R009,"Honestly I'm not sure what I expected. It does what it says but it's not very intuitive. Some things are just buried too deep in menus.","product usability; menu navigation","low intuitiveness; features buried in menus",,"buried features and low intuitiveness increase effort to find functionality","Customer expects features to be surfaced and navigable without deep exploration; low discoverability increases the effort required.",Mixed,Medium,"""I'm not sure what I expected"" creates genuine ambiguity — customer may partly accept unclear prior expectations. Functional capability acknowledged (""does what it says"") while usability is criticised. Motivation cannot be determined. Sentiment could also be read as Negative; Mixed chosen because customer explicitly qualifies their complaint."
R010,"I love the export feature. I use it every week to pull reports for my team. It would be even better if I could schedule them automatically.","export feature; report scheduling",,"wanted to schedule reports automatically","export feature valued but absence of scheduling creates recurring manual work","Customer relies on the export feature for a regular team workflow and wants to eliminate recurring manual effort through automation.",Positive,High,"""It would be even better"" is a feature request not a pain point — not coded as pain point. Motivation ""wanted to schedule reports automatically"" is directly stated. Previous run also coded ""wanted to reduce manual repetition"" — removed this run as it extends beyond what is stated."
R011,"The notifications I'm getting are not relevant to me at all. I set my preferences but they don't seem to do anything.","notifications; notification preferences","irrelevant notifications; preferences appear non-functional","wanted relevant notifications; wanted control over notification content","non-functional preference controls undermine notification relevance","Customer expects notification preferences to control what they receive; when settings appear ineffective the channel becomes noise.",Negative,Medium,"Motivations inferred from described behavior (setting preferences implies wanting relevance and control) — not stated as explicit goals. ""Don't seem to do anything"" is ambiguous: could be a broken settings feature or a mismatch between expected and actual scope of preferences. Requires human review to determine whether this is a bug or an expectation gap."
R012,"Getting started was confusing. There were too many options right away and I didn't know where to begin. I almost gave up on the first day.","onboarding; initial setup options","too many options at start; didn't know where to begin","wanted to get started successfully","option overload at onboarding nearly caused first-day abandonment","Customer needs a clear guided entry point to avoid being overwhelmed in their first session.",Negative,Medium,"Behavioral consequence (""almost gave up"") removed from Pain Point Codes — captured in Child Code. Motivation inferred: ""wanted to get started successfully"" is strongly implied by context but not directly stated. Contrast with R005 (onboarding described as easy) — may reflect different entry paths or experience levels."
R013,"Customer support was great. I had an issue and they fixed it within an hour. No complaints there.","customer support; issue resolution speed",,"wanted issue resolved quickly","fast support response met resolution expectations","Customer expects issues to be resolved quickly; this interaction met that expectation.",Positive,Medium,"Motivation inferred from positive reaction to 1-hour resolution — ""wanted issue resolved quickly"" is not directly stated as a goal. Original issue not described; unknown what problem was resolved. Response is brief and evaluative; limited coding depth available."
R014,"I don't understand why I can't see my full transaction history. It only shows the last 30 days and I need to go back further for my records.","transaction history; data access limit","transaction history limited to 30 days; can't access older records","needed full transaction history for record-keeping","transaction history limit blocked access needed for a stated purpose","Customer needs access to complete historical transaction data for record-keeping; the 30-day limit is a functional barrier to a specific stated goal.",Negative,High,"""I don't understand why"" suggests the customer is unsure whether this is a product limit or a bug. Record-keeping need is explicitly and specifically stated in the response."
R015,"The integration with our other tools works really well most of the time, but it broke twice last month and we didn't get any warning or explanation.","integrations; integration reliability; failure communication","integration failures (twice in one month); no warning or explanation provided",,"repeated integration failures without communication eroded reliability expectations","Customer relies on integrations for connected team tools and expects to be informed when they fail; unannounced failures create uncertainty about system state.",Mixed,Medium,"Motivation left blank: ""we didn't get any warning or explanation"" describes what was absent not what was desired — coding an expectation of proactive communication would require inferring a goal not stated by the participant. Overall integration experience described as positive; pain is specific to two failures and absence of communication. ""We"" suggests a team context."
