RESEARCH QUESTION:,,,,,,,
,,,,,,,

BROADER THEMES,,,,,,,
Broader Theme,Working Definition,Theme Candidates,Child Codes,Example IDs,Relationship/Rationale,Confidence,Ambiguity/Notes
,,,,,,,
,,,,,,,
,,,,,,,

UNRESOLVED / PERIPHERAL THEME CANDIDATES,,,,,,,
Unresolved / Peripheral Theme Candidate,Child Codes,Example IDs,Reason Not Grouped,Suggested Review,,,
,,,,,,,
,,,,,,,

STAGE 2 ISOLATED CODES — NOTED AS CONTEXT,,,,,,,
ID,Child Code,Relevance to Research Question,Notes,,,,
,,,,,,,
,,,,,,,

COVERAGE CHECK,,,,,,,
Total theme candidates reviewed:,,,,,,,
Theme candidates grouped into broader themes:,,,,,,,
Theme candidates left unresolved/peripheral:,,,,,,,
Any theme candidates missing from the output? (Yes / No):,,,,,,,
