ID,Response
R001,"I've been using the app for about three months and overall it's fine, but I can never figure out where to go to update my billing information. Every time I try I end up in the wrong place."
R002,"The search results are totally useless. I type in exactly what I'm looking for and it just shows me random stuff. I gave up and emailed support instead."
R003,"I really like how fast the dashboard loads now. It used to be so slow. I wish the reports section was the same."
R004,"I wanted to switch to the annual plan but when I clicked the upgrade button nothing happened. I tried three times and then just left."
R005,"Onboarding was pretty easy to follow. The setup guide walked me through everything. I did have one question about integrations but found the answer in the help docs."
R006,"I keep getting logged out. I don't know why. It's especially frustrating when I'm in the middle of filling out a long form and lose everything."
R007,"The mobile version doesn't work well at all. Half the buttons don't do anything and the layout looks broken on my phone."
R008,"I've tried to cancel my subscription twice now and both times the cancellation page just spins and never finishes. I had to call customer service."
R009,"Honestly I'm not sure what I expected. It does what it says but it's not very intuitive. Some things are just buried too deep in menus."
R010,"I love the export feature. I use it every week to pull reports for my team. It would be even better if I could schedule them automatically."
R011,"The notifications I'm getting are not relevant to me at all. I set my preferences but they don't seem to do anything."
R012,"Getting started was confusing. There were too many options right away and I didn't know where to begin. I almost gave up on the first day."
R013,"Customer support was great. I had an issue and they fixed it within an hour. No complaints there."
R014,"I don't understand why I can't see my full transaction history. It only shows the last 30 days and I need to go back further for my records."
R015,"The integration with our other tools works really well most of the time, but it broke twice last month and we didn't get any warning or explanation."
